/*********************************************
 * OPL 12.4 Data
 * Author: jbosch
 * Creation Date: Dec 12, 2015 at 3:25:31 PM
 *********************************************/

 nOffices = 16;
 nBackupCenters = 2048;
 nSegments = 4;

 // Demand for each office (in PB)
 demand = [ 8 10 2 5 1 1 1 9 10 2 7 6 9 3 4 2 ];

 // Whether office o is conected with each center c
